,City Name,Country,Latitude,Longitude,Max. Temp.,Humidity,Cloudiness,Wind,Date
178,Zatoka,UA,46.07,30.47,55.4,76,0,12.06,2020-10-23
179,Kathmandu,NP,27.72,85.32,77.0,53,40,4.7,2020-10-23
180,Uyuni,BO,-20.46,-66.83,50.49,54,0,2.91,2020-10-23
181,Los llanos de aridane,ES,28.66,-17.92,66.2,68,40,9.17,2020-10-23
182,Tromso,NO,69.65,18.96,30.2,92,90,2.24,2020-10-23
183,Eureka,US,40.8,-124.16,46.0,87,1,3.36,2020-10-23
184,Muborak,UZ,39.26,65.15,58.95,35,0,7.87,2020-10-23
185,West fargo,US,46.88,-96.9,32.0,86,90,14.99,2020-10-23
186,Egvekinot,RU,66.32,-179.17,26.82,94,0,6.31,2020-10-23
187,Vitim,RU,59.45,112.56,39.67,77,88,10.49,2020-10-23
188,Beringovskiy,RU,63.05,179.32,38.05,86,36,18.32,2020-10-23
189,Ghanzi,BW,-21.57,21.78,82.33,26,0,17.58,2020-10-23
190,Solnechnogorsk,RU,56.18,36.98,51.8,81,75,13.42,2020-10-23
191,Pangody,RU,65.85,74.49,22.24,97,92,11.05,2020-10-23
192,Huntington,US,38.42,-82.45,59.0,93,1,3.36,2020-10-23
193,Alice springs,AU,-23.7,133.88,95.0,13,0,14.99,2020-10-23
194,Cacu,BR,-18.56,-51.13,72.59,81,17,1.23,2020-10-23
195,Sakakah,SA,29.97,40.21,75.2,14,0,4.83,2020-10-23
196,Miajadas,ES,39.15,-5.91,52.0,96,0,2.17,2020-10-23
197,Vallenar,CL,-28.57,-70.76,52.97,77,0,1.81,2020-10-23
198,Bereda,ES,43.27,-7.54,51.01,100,94,5.99,2020-10-23
199,Mount gambier,AU,-37.83,140.77,59.0,87,90,16.11,2020-10-23
200,Koslan,RU,63.46,48.9,24.93,92,73,10.4,2020-10-23
201,Mugur-aksy,RU,50.35,90.5,37.67,69,100,11.25,2020-10-23
202,Pisco,PE,-13.7,-76.22,60.8,87,0,8.05,2020-10-23
203,Maldonado,UY,-34.67,-54.92,60.8,93,90,5.82,2020-10-23
204,Mabaruma,GY,8.2,-59.78,75.49,88,25,3.98,2020-10-23
205,Waingapu,ID,-9.66,120.26,87.28,57,65,10.25,2020-10-23
206,Chimbote,PE,-9.09,-78.58,61.81,89,99,5.55,2020-10-23
207,Tiksi,RU,71.69,128.87,17.33,92,100,8.93,2020-10-23
208,Lazaro cardenas,MX,17.96,-102.2,78.35,88,21,4.0,2020-10-23
209,Kokopo,PG,-4.35,152.26,82.83,67,22,6.8,2020-10-23
210,Sigli,ID,5.38,95.96,86.41,63,65,5.84,2020-10-23
211,Hurricane,US,37.18,-113.29,62.6,45,1,3.36,2020-10-23
212,Wanning,CN,18.8,110.4,78.17,64,100,15.97,2020-10-23
213,Deyang,CN,31.13,104.38,71.01,1,97,3.58,2020-10-23
214,Berlevag,NO,70.86,29.09,35.6,93,75,25.28,2020-10-23
215,Narsaq,GL,60.92,-46.05,23.0,73,98,3.36,2020-10-23
216,Sault sainte marie,CA,46.52,-84.33,39.2,86,90,8.05,2020-10-23
217,Mantua,IT,45.17,10.78,53.01,97,100,3.0,2020-10-23
218,Riyadh,SA,24.69,46.72,78.8,19,0,9.17,2020-10-23
219,Lamar,US,33.67,-95.58,68.0,93,1,4.7,2020-10-23
220,Georgetown,MY,5.41,100.34,87.01,70,40,10.29,2020-10-23
221,Nanortalik,GL,60.14,-45.24,30.43,86,100,15.97,2020-10-23
222,Conde,BR,-7.26,-34.91,75.2,100,75,7.9,2020-10-23
223,Kaitangata,NZ,-46.28,169.85,52.97,93,100,3.06,2020-10-23
224,Beloha,MG,-25.17,45.05,91.22,25,0,10.92,2020-10-23
225,Port lincoln,AU,-34.73,135.87,57.51,79,100,26.98,2020-10-23
226,Glenwood springs,US,39.55,-107.32,41.0,50,1,11.41,2020-10-23
227,Lagoa,PT,39.05,-27.98,65.3,75,3,15.1,2020-10-23
228,Teguise,ES,29.06,-13.56,64.4,77,20,9.17,2020-10-23
229,Belmonte,BR,-15.86,-38.88,71.6,94,75,3.36,2020-10-23
230,San luis,AR,-33.3,-66.34,58.53,79,0,3.31,2020-10-23
231,Kumla,SE,59.13,15.14,43.0,93,75,16.11,2020-10-23
232,Sendai,JP,38.27,140.87,62.6,93,75,5.82,2020-10-23
233,Fredericton,CA,45.95,-66.67,45.0,87,90,5.82,2020-10-23
234,Hamilton,US,39.18,-84.53,66.99,72,1,5.82,2020-10-23
235,Axim,GH,4.87,-2.24,78.22,87,100,6.93,2020-10-23
236,Port hedland,AU,-20.32,118.57,87.8,52,66,19.46,2020-10-23
237,Mirnyy,RU,62.54,113.96,41.0,65,0,15.66,2020-10-23
238,Calbuco,CL,-41.77,-73.13,39.2,93,0,2.24,2020-10-23
239,Sitka,US,57.05,-135.33,37.4,40,20,8.05,2020-10-23
240,Guerrero,MX,17.67,-100.0,65.97,77,32,3.27,2020-10-23
241,Ancud,CL,-41.87,-73.82,42.01,93,100,2.24,2020-10-23
242,Saint-francois,FR,46.42,3.91,59.0,87,90,3.36,2020-10-23
243,Amga,RU,60.9,131.96,16.2,94,0,1.12,2020-10-23
244,Okhotsk,RU,59.38,143.3,37.49,83,100,20.27,2020-10-23
245,Nocupetaro,MX,19.05,-101.15,70.27,85,15,2.59,2020-10-23
246,Xai-xai,MZ,-25.05,33.64,78.15,58,62,6.98,2020-10-23
247,Mareeba,AU,-17.0,145.43,84.2,58,0,10.29,2020-10-23
248,Kailua,US,21.4,-157.74,80.6,74,40,3.36,2020-10-23
249,Fort dodge,US,42.5,-94.17,35.6,93,90,11.41,2020-10-23
250,Loukhi,RU,66.08,33.04,36.0,98,100,8.05,2020-10-23
251,Zomin,UZ,39.96,68.4,50.07,52,68,2.93,2020-10-23
252,Nouadhibou,MR,20.93,-17.03,69.8,83,0,18.34,2020-10-23
253,Heilbron,ZA,-27.28,27.97,77.23,34,0,9.69,2020-10-23
254,Naantali,FI,60.47,22.02,48.0,93,90,6.93,2020-10-23
255,Moshkovo,RU,55.31,83.61,35.6,80,75,17.9,2020-10-23
256,Sakaiminato,JP,35.55,133.23,64.4,55,75,10.29,2020-10-23
257,Port macquarie,AU,-31.43,152.92,78.01,63,0,3.0,2020-10-23
258,Khash,IR,28.22,61.22,71.65,19,0,14.72,2020-10-23
259,Yaan,NG,7.38,8.57,77.18,89,54,6.08,2020-10-23
260,Inuvik,CA,68.35,-133.72,28.4,92,90,8.05,2020-10-23
261,Chapais,CA,49.78,-74.85,30.2,86,90,6.93,2020-10-23
262,Kuryk,KZ,43.2,51.65,59.81,59,62,4.68,2020-10-23
263,Beboto,TD,8.27,16.94,77.41,75,94,4.85,2020-10-23
264,Kpandu,GH,7.0,0.29,75.6,90,100,4.27,2020-10-23
265,Porto-vecchio,FR,41.59,9.28,66.2,88,0,14.99,2020-10-23
266,Cayenne,GF,4.93,-52.33,73.4,100,73,7.52,2020-10-23
267,Cherskiy,RU,68.75,161.3,20.05,94,38,7.23,2020-10-23
268,Angoche,MZ,-16.23,39.91,81.32,60,76,7.78,2020-10-23
269,Goma,CD,-1.68,29.22,69.8,68,75,9.17,2020-10-23
270,Camacha,PT,33.08,-16.33,64.4,68,20,10.29,2020-10-23
271,Northam,GB,51.03,-4.22,52.0,96,100,8.01,2020-10-23
272,Fairbanks,US,64.84,-147.72,21.99,84,1,3.36,2020-10-23
273,Marrakesh,MA,31.63,-8.01,57.2,93,40,3.36,2020-10-23
274,Malatya,TR,38.5,38.0,62.6,45,0,1.61,2020-10-23
275,Balvi,LV,57.13,27.27,52.79,87,100,11.5,2020-10-23
276,Kahului,US,20.89,-156.47,78.8,65,1,6.93,2020-10-23
277,Carnarvon,AU,-24.87,113.63,78.8,54,0,19.46,2020-10-23
278,Rawlins,US,41.79,-107.24,17.6,78,90,6.93,2020-10-23
279,Shache,CN,38.42,77.24,66.9,20,0,5.46,2020-10-23
280,Tuatapere,NZ,-46.13,167.68,57.99,74,99,7.0,2020-10-23
281,Namatanai,PG,-3.67,152.43,82.9,67,0,7.31,2020-10-23
282,Escanaba,US,45.75,-87.06,37.4,93,90,8.05,2020-10-23
283,Elk city,US,35.41,-99.4,51.8,81,90,24.16,2020-10-23
284,Vila franca do campo,PT,37.72,-25.43,62.6,72,75,6.93,2020-10-23
285,Antequera,ES,37.02,-4.56,59.0,100,75,5.82,2020-10-23
286,Khatima,IN,28.92,79.97,84.2,51,0,3.36,2020-10-23
287,Igarka,RU,67.47,86.58,9.27,95,100,8.59,2020-10-23
288,Korla,CN,41.76,86.15,66.0,84,11,1.99,2020-10-23
289,Bac lieu,VN,9.29,105.72,77.14,90,100,5.08,2020-10-23
290,Qorveh,IR,35.17,47.8,61.81,30,0,5.68,2020-10-23
291,Saint-georges,GD,12.06,-61.75,80.6,88,20,17.22,2020-10-23
292,Rawson,AR,-43.3,-65.1,64.98,48,100,18.43,2020-10-23
293,Ilulissat,GL,69.22,-51.1,19.4,73,94,1.12,2020-10-23
294,Mandalgovi,MN,45.76,106.27,50.56,38,0,14.2,2020-10-23
295,Mount pleasant,US,32.79,-79.86,72.0,100,1,9.82,2020-10-23
296,Sinnamary,GF,5.38,-52.95,79.21,86,9,8.34,2020-10-23
297,Chilca,PE,-12.52,-76.74,61.0,82,90,6.93,2020-10-23
298,Kieta,PG,-6.22,155.63,82.9,66,100,1.74,2020-10-23
299,Kupang,ID,-10.17,123.58,91.4,55,75,11.41,2020-10-23
300,Majene,ID,-3.54,118.97,86.49,64,8,8.37,2020-10-23
301,Kelvington,CA,52.17,-103.53,14.97,96,97,7.76,2020-10-23
302,Arkhangelsk,RU,64.54,40.54,30.2,86,90,13.42,2020-10-23
303,Puerto del rosario,ES,28.5,-13.86,66.2,72,20,9.17,2020-10-23
304,Elko,US,41.0,-115.5,33.8,31,1,6.93,2020-10-23
305,Ust-nera,RU,64.57,143.2,24.76,93,100,3.02,2020-10-23
306,Najran,SA,17.49,44.13,78.8,14,0,4.7,2020-10-23
307,Auki,SB,-8.77,160.7,81.36,76,100,1.23,2020-10-23
308,Mount isa,AU,-20.73,139.5,87.8,40,100,10.29,2020-10-23
309,Buala,SB,-8.14,159.59,82.45,74,100,4.97,2020-10-23
310,Maniitsoq,GL,65.42,-52.9,27.34,83,3,7.54,2020-10-23
311,Remuna,IN,21.53,86.87,86.56,67,100,14.07,2020-10-23
312,Petropavlovsk-kamchatskiy,RU,53.05,158.65,42.8,87,4,8.95,2020-10-23
313,Leshukonskoye,RU,64.9,45.76,26.06,95,100,11.63,2020-10-23
314,Mezen,RU,65.85,44.24,27.81,94,100,13.02,2020-10-23
315,Hagenow,DE,53.43,11.18,51.01,97,100,4.0,2020-10-23
316,Hovd,MN,48.01,91.64,49.05,42,100,2.53,2020-10-23
317,Syzran,RU,53.16,48.47,39.61,89,100,13.44,2020-10-23
318,Dalby,AU,-27.18,151.27,81.0,51,100,1.99,2020-10-23
319,Chekhov,RU,55.14,37.47,54.0,9,100,12.03,2020-10-23
320,Shenjiamen,CN,29.96,122.3,64.09,57,0,19.55,2020-10-23
321,Poum,NC,-20.23,164.02,77.85,77,2,7.9,2020-10-23
322,Souillac,MU,-20.52,57.52,78.8,57,40,14.99,2020-10-23
323,Nuuk,GL,64.18,-51.72,28.4,68,30,17.22,2020-10-23
324,Port blair,IN,11.67,92.75,85.26,72,0,11.43,2020-10-23
325,Lorengau,PG,-2.02,147.27,84.7,67,31,5.39,2020-10-23
326,Airai,TL,-8.93,125.41,74.03,74,99,1.43,2020-10-23
327,Marfino,RU,55.7,37.38,52.0,87,75,15.66,2020-10-23
328,Semporna,MY,4.48,118.61,86.0,74,20,3.36,2020-10-23
329,Aswan,EG,24.09,32.91,88.0,14,0,14.25,2020-10-23
330,Port-gentil,GA,-0.72,8.78,75.2,100,90,10.29,2020-10-23
331,Osa,RU,57.28,55.46,27.66,86,0,3.2,2020-10-23
332,Madurai,IN,9.93,78.12,91.4,49,40,6.93,2020-10-23
333,Bengkulu,ID,-3.8,102.27,84.6,72,100,7.11,2020-10-23
334,Ibra,OM,22.69,58.53,91.63,8,0,3.69,2020-10-23
335,Klaksvik,FO,62.23,-6.59,44.6,87,100,29.97,2020-10-23
336,Paamiut,GL,61.99,-49.67,30.2,86,34,28.39,2020-10-23
337,Puerto escondido,MX,15.85,-97.07,79.14,79,100,4.14,2020-10-23
338,Kruisfontein,ZA,-34.0,24.73,75.4,45,100,10.54,2020-10-23
339,Hasaki,JP,35.73,140.83,64.4,100,75,5.82,2020-10-23
340,Zakamensk,RU,50.37,103.29,48.27,47,69,2.66,2020-10-23
341,Mahebourg,MU,-20.41,57.7,78.8,57,40,14.99,2020-10-23
342,Touros,BR,-5.2,-35.46,75.2,94,75,4.7,2020-10-23
343,Victoria,HK,22.29,114.16,77.0,49,100,1.01,2020-10-23
344,Tura,IN,25.52,90.22,74.17,93,100,5.41,2020-10-23
345,Surovikino,RU,48.61,42.85,59.61,73,76,15.19,2020-10-23
346,Amilly,FR,47.97,2.77,57.99,98,100,5.21,2020-10-23
347,La fleche,FR,47.7,-0.08,54.0,100,90,3.36,2020-10-23
348,Padilla,CO,3.22,-76.31,72.0,94,40,4.7,2020-10-23
349,Victor harbor,AU,-35.57,138.62,59.0,88,100,3.0,2020-10-23
350,Aksu,CN,41.12,80.26,64.18,23,52,2.46,2020-10-23
351,Sembakung,ID,3.82,117.25,87.35,69,100,5.26,2020-10-23
352,Mwinilunga,ZM,-11.74,24.43,77.25,40,68,6.96,2020-10-23
353,Vila velha,BR,-20.33,-40.29,71.6,88,75,8.05,2020-10-23
354,Te anau,NZ,-45.42,167.72,48.58,85,100,4.52,2020-10-23
355,Lady frere,ZA,-31.7,27.23,86.54,21,27,10.87,2020-10-23
356,Berdigestyakh,RU,62.1,126.7,21.36,94,100,8.86,2020-10-23
357,Amapa,BR,1.0,-52.0,71.8,98,32,1.79,2020-10-23
